Type;ID;Date;Amount
Dom ;8.152 ;30/04/2019 10:28 ;5.355,47
Cash ;2.852 ;08/07/2019 09:33 ;22.379,8
Cash ;3.074 ;23/09/2019 10:07 ;461,49
Cash ;3.075 ;23/09/2019 10:07 ;2.128,15
Dom ;9.021 ;23/09/2019 10:10 ;2.589,64
Cash ;3.082 ;24/09/2019 09:08 ;2.480,5
Cash ;3.251 ;21/11/2019 13:04 ;2.901,0
Cash ;3.436 ;27/01/2020 17:51 ;5.906,1
Dom ;10.069 ;16/04/2020 13:50 ;1.027,04
Cash ;3.779 ;19/06/2020 10:38 ;1.239,41
Dom ;10.471 ;19/06/2020 10:40 ;1.239,37
Dom ;10.599 ;10/07/2020 12:48 ;1.044,54
Dom ;10.697 ;24/07/2020 09:44 ;1.532,84
Cash ;3.965 ;27/08/2020 09:53 ;10.546,83
Dom ;10.912 ;27/08/2020 09:55 ;10.456,83
Cash ;4.002 ;07/09/2020 09:28 ;1.091,42
Cash ;4.003 ;07/09/2020 09:29 ;1.686,38
Dom ;10.973 ;07/09/2020 09:32 ;2.777,8
Dom ;11.016 ;18/09/2020 09:26 ;6.000,0
Cash ;4.042 ;21/09/2020 16:34 ;4.000,17
Dom ;11.033 ;21/09/2020 16:36 ;4.000,0
Cash ;4.071 ;01/10/2020 16:19 ;1.018,43
Cash ;4.072 ;01/10/2020 16:20 ;339,25
Cash ;4.073 ;01/10/2020 16:21 ;999,0
Cash ;4.074 ;01/10/2020 16:21 ;231,51
Dom ;11.107 ;01/10/2020 17:03 ;2.588,19
Cash ;4.153 ;26/10/2020 09:15 ;7.715,14
Dom ;11.264 ;26/10/2020 09:16 ;9.324,44
Dom ;11.306 ;03/11/2020 09:51 ;6.645,2
Cash ;4.193 ;09/11/2020 09:43 ;-2.978,9
Cash ;4.194 ;09/11/2020 09:45 ;-47,31
Cash ;4.235 ;18/11/2020 19:00 ;3.653,0
Dom ;11.403 ;19/11/2020 18:35 ;7.200,0
Dom ;11.620 ;21/12/2020 13:42 ;582,05
Dom ;11.621 ;21/12/2020 13:43 ;31.172,68
Cash ;4.449 ;27/01/2021 12:26 ;1.319,87
Dom ;11.848 ;27/01/2021 12:34 ;2.318,42
Dom ;11.851 ;27/01/2021 12:57 ;4.527,55
Dom ;11.880 ;29/01/2021 11:57 ;34.578,35
Cash ;4.629 ;22/03/2021 18:23 ;1.609,3
Cash ;4.655 ;31/03/2021 10:12 ;5.167,27
Dom ;12.210 ;31/03/2021 12:45 ;780,0
Dom ;12.566 ;24/05/2021 13:10 ;2.036,22
Cash ;4.867 ;25/05/2021 10:11 ;-5.167,27
Cash ;5.098 ;20/07/2021 11:57 ;46.181,51
Dom ;12.954 ;20/07/2021 11:59 ;23.181,51
Cash ;5.250 ;01/09/2021 10:43 ;2.662,0
Cash ;5.251 ;01/09/2021 10:43 ;2.662,0
Cash ;5.252 ;01/09/2021 10:44 ;1.577,89
Cash ;5.253 ;01/09/2021 10:45 ;3.993,93
Cash ;5.254 ;01/09/2021 10:46 ;3.087,0
Cash ;5.255 ;01/09/2021 10:47 ;1.985,28
Cash ;5.256 ;01/09/2021 10:48 ;4.572,97
Cash ;5.257 ;01/09/2021 10:49 ;3.190,77
Dom ;13.198 ;01/09/2021 10:51 ;23.731,84
Cash ;5.436 ;14/10/2021 09:39 ;975,0
Cash ;5.437 ;14/10/2021 09:40 ;1.130,26
Cash ;5.438 ;14/10/2021 09:41 ;8.039,4
Cash ;5.439 ;14/10/2021 09:44 ;2.197,69
Cash ;5.440 ;14/10/2021 09:44 ;2.180,36
Dom ;13.508 ;14/10/2021 09:47 ;14.522,71
Dom ;14.128 ;24/01/2022 13:39 ;2.192,29
Dom ;14.343 ;18/02/2022 13:21 ;14.285,35
Cash ;6.286 ;24/05/2022 14:02 ;-4.720,21
Dom ;15.329 ;20/06/2022 18:31 ;6.098,4
